Bil.,NAMA IPT,"KATEGORI PPT
(IPTA/ IPTS)",,NEGARA,
,"BRIDGEPORT ENGINEERING INSTITUTE, BRIDGEPORT, CONNECTICUT",2,00296,,Both
,"BRIDGEWATER COLLEGE, BRIDGEWATER, VIRGINIA",2,00297,,Both
,"BRIDGEWATER STATE COLLEGE, BRIDGEWATER, MASSACHUSETTS",2,00298,,Both
,"BRIGHAM YOUNG UNIVERSITY, PROVO, UTAH",2,00299,,Both
,"BRIGHAM YOUNG UNIVERSITY-HAWAII, LAIE, HAWAII",2,00300,,Both
,BRIGHTON-SUSSEX MEDICAL SCHOOL,2,00301,,Both
,"BRISTOL UNIVERSITY, BRISTOL, TENNESSEE",2,00302,,Both
,BRITISH MALAYSIAN INSTITUTE (BMI)/ TUAS POLYTECH,2,00303,,Both
,BROCK UNIVERSITY,2,00304,,Both
,"BROOKLYN COLLEGE, BROOKLYN, NEW YORK",2,00305,,Both
,"BROOKS INSTITUTE, SANTA BARBARA, CALIFORNIA",2,00306,,Both
,"BROWN UNIVERSITY, PROVIDENCE, RHODE ISLAND",2,00307,,Both
,BRUNEL UNIVERSITY,2,00308,,Both
,"BRYANT COLLEGE, SMITHFIELD, RHODE ISLAND",2,00309,,Both
,"BRYN MAWR COLLEGE, BRYN MAWR, PENNSYLVANIA",2,00310,,Both
,BUCKINGHAMSHIRE COLLEGE OF HIGHER EDUCATION,2,00311,,Both
,"BUCKNELL UNIVERSITY, LEWISBURG, PENNSYLVANIA",2,00312,,Both
,"BUENA VISTA COLLEGE, STORM LAKE, IOWA",2,00313,,Both
,BUNKYO UNIVERSITY,2,00314,,Both
